haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
7000055000117,28000700002858,7000055000118,7000055000000,28,2.8311827,7000055000118,7000055000119,7000055000034,7000055000117,-1,22,1.4631164,1.3770508,1.4631164,32113,3.8906207,8.784633,31.639328,132105,0,0,3,-412.58572,45.82766,162.18764,38.104813,65.99139,0.045297235,0.026407642,-0.04403605,396730,7,2858,0.010885708,238
7000055000118,27000700003185,7000055000118,7000055000000,27,3.060419,-1,-1,7000055000117,7000055000118,-1,22,1.3770508,1.3770508,1.3770508,32110,4.1079845,8.804835,31.541992,132162,0,0,3,-369.62448,35.13957,159.14265,38.538208,67.25522,0.050617296,-0.004890015,-0.08424656,396735,7,3185,0.010283723,545
7000055000119,28000700000896,7000055000123,7000055000000,28,2.8311827,7000055000120,7000055000124,7000055000034,7000055000119,-1,78,3.7868896,3.7008238,3.8729553,32113,2.7313488,9.702707,31.568672,132106,0,1,3,40.92579,-413.75528,244.10558,48.979946,82.78414,0.3533548,-0.014129649,-0.116135776,410284,7,896,0.021604069,754
7000055000120,27000700000902,7000055000123,7000055000000,27,3.060419,7000055000121,-1,7000055000119,7000055000120,-1,77,3.2704954,3.2704954,3.3565612,32114,2.743159,9.933414,31.440939,132120,0,1,3,-28.803017,-360.29242,210.5952,51.803844,84.72683,0.33221516,-0.19742014,-0.40076548,413661,7,902,0.023396933,447
7000055000121,26000700001842,7000055000123,7000055000000,26,3.3080978,7000055000122,-1,7000055000120,7000055000121,-1,33,1.8934448,1.8934448,2.1516418,32114,2.7907007,10.137049,31.32483,132120,0,1,3,-85.389915,-312.36246,151.5211,44.41302,72.67197,0.047822297,-0.052061044,-0.029280202,413665,7,1842,0.013413362,154
7000055000122,25000000002548,7000055000123,7000055000000,25,3.575905,7000055000123,-1,7000055000121,7000055000122,-1,26,1.6352477,1.6352477,1.6352477,32114,2.8239238,10.299309,31.26503,132120,0,1,3,-101.11488,-287.36594,130.72484,46.191868,77.42006,0.04488913,-5.234434E-4,-0.11837381,410244,0,2548,0.009266813,439
7000055000123,24000000002009,7000055000123,7000055000000,24,3.8656828,-1,-1,7000055000122,7000055000123,-1,30,1.032788,1.032788,1.2049193,653,2.9145863,10.480237,31.175978,19772,0,1,3,-104.94865,-260.43414,116.78253,38.42969,66.333244,0.01149044,0.04913969,-0.060525857,410284,0,2009,0.014090622,448
7000055000124,28000000000003,7000055000153,7000055000000,28,2.8311827,7000055000125,-1,7000055000034,7000055000035,7000055000174,147,0.0,0.0,0.0,32113,3.1973693,9.306445,31.52347,132107,0,1,3,-155.36098,217.53519,526.2196,122.35281,187.21188,0.098006085,0.0072778123,0.12447237,372957,0,3,0.008572823,80
7000055000125,27000000000023,7000055000153,7000055000000,27,3.060419,7000055000126,-1,7000055000124,7000055000203,7000055000163,119,0.0,0.0,0.0,654,3.219819,9.16865,31.22801,19759,0,1,3,96.23085,336.98462,404.6383,99.34614,156.77214,0.18179554,-0.17147426,0.1240143,374189,0,23,0.009518934,995
7000055000126,26000000000023,7000055000153,7000055000000,26,3.3080978,7000055000127,-1,7000055000125,7000055000204,7000055000189,371,0.0,0.0,0.0,654,3.1898742,9.000515,31.072405,19759,0,1,3,37.704235,243.06268,237.46144,125.77347,191.59367,-0.09790241,-0.075112715,0.19116825,393292,0,23,0.02013125,882
7000055000127,25000000000078,7000055000153,7000055000000,25,3.575905,7000055000128,-1,7000055000126,7000055000127,-1,556,47.852512,47.68038,49.229565,654,3.1340795,8.848788,30.90761,19759,0,0,3,6.966192,192.17673,201.95697,135.31673,224.66858,-0.4752088,-0.20960625,0.20017008,373039,0,78,0.023154698,458
7000055000128,24000000000076,7000055000153,7000055000000,24,3.8656828,7000055000129,-1,7000055000127,7000055000128,-1,485,40.795128,40.19267,41.74185,654,3.1405616,8.746064,30.793762,19757,0,0,3,-13.453533,168.66861,174.31851,134.23167,213.89136,-0.30079272,-0.09592202,0.10433066,393293,0,76,0.0201485,498
7000055000129,23000000000067,7000055000149,7000055000000,23,4.1794686,7000055000130,7000055000150,7000055000128,7000055000129,-1,409,31.500036,31.155773,32.36069,654,3.1800423,8.67088,30.71348,19757,0,0,3,-11.144281,145.26227,168.81677,127.23225,198.95569,-0.17643027,0.07255787,-0.11039583,372966,0,67,0.019596916,517
7000055000130,22000000000049,7000055000137,7000055000000,22,4.5195556,7000055000131,7000055000138,7000055000129,7000055000130,7000055000142,261,18.50412,18.159857,20.48363,654,3.2003093,8.569657,30.608658,19757,0,0,3,-30.212603,144.28128,138.17125,109.34426,171.91432,0.015589051,0.012416094,-0.058758575,374183,0,49,0.017097898,97
7000055000131,21000000000040,7000055000137,7000055000000,21,4.888449,7000055000132,-1,7000055000130,7000055000131,7000055000143,199,14.975427,14.803295,15.147558,654,3.253383,8.497934,30.549944,19757,0,0,3,-59.419777,133.85608,142.84435,107.062065,172.6692,0.14393705,-0.28998685,0.0034903085,372974,0,40,0.012700371,614
7000055000132,20000000000076,7000055000137,7000055000000,20,5.2888336,7000055000133,-1,7000055000131,7000055000132,-1,157,13.081982,13.081982,13.51231,654,3.2890313,8.429102,30.495415,19757,0,0,3,-61.467113,120.362785,123.90859,109.70471,176.19963,0.1795347,-0.35978767,0.0113875475,392076,0,76,0.010403931,942
